id,name_te,name_hi,name_en,lat,lng,distance,distance_num,crowd,details_te,details_hi,details_en,facilities,area_te,area_hi,area_en
pushkar,పుష్కర్ ఘాట్,पुष्कर घाट,Pushkar Ghat,17.0005,81.784,500m,0.5,low,ప్రధాన పుష్కర స్నాన ఘాట్,मुख्य पुष्कर स्नान घाट,Main Pushkar bathing ghat,🚻|🍲|💧|🅿️,రాజమండ్రి,राजमंड्री,Rajahmundry
saraswathi,సరస్వతి ఘాట్,सरस्वती घाट,Saraswathi Ghat,16.999,81.7825,1.2km,1.2,low,ప్రశాంతమైన స్నాన ప్రదేశం,शांत स्नान स्थल,Peaceful bathing spot,🚻|💧,రాజమండ్రి,राजमंड्री,Rajahmundry
kotilinga,కోటిలింగ ఘాట్,कोटिलिंग घाट,Kotilinga Ghat,17.002,81.786,800m,0.8,medium,కోటిలింగేశ్వర ఆలయం సమీపంలో,कोटिलिंगेश्वर मंदिर के पास,Near Kotilinga temple,🚻|🍲|💧,రాజమండ్రి,राजमंड्री,Rajahmundry
gautami,గౌతమి ఘాట్,गौतमी घाट,Gautami Ghat,16.9975,81.781,1.5km,1.5,high,అత్యంత ప్రసిద్ధ ఘాట్,सबसे प्रसिद्ध घाट,Most famous ghat,🚻|🍲|💧|🅿️|🏥,రాజమండ్రి,राजमंड्री,Rajahmundry
devi,దేవి ఘాట్,देवी घाट,Devi Ghat,16.996,81.7795,2km,2,low,దేవి ఆలయం సమీపంలో,देवी मंदिर के पास,Near Devi temple,🚻|💧,రాజమండ్రి,राजमंड्री,Rajahmundry
gowthami,గౌతమి ఘాట్ (కొవ్వూరు),गौथमी घाट (कोव्वूर),Gowthami Ghat,16.9945,81.778,1.8km,1.8,medium,కొవ్వూరు వైపు,कोव्वूर की ओर,Towards Kovvur side,🚻|🍲|💧|🅿️,రాజమండ్రి,राजमंड्री,Rajahmundry
parnashala,పర్ణశాల ఘాట్,पर्णशाला घाट,Parnashala Ghat,17.05,81.67,3km,3,low,సీతారాముల పర్ణశాల సమీపంలో,सीताराम पर्णशाला के पास,Near Sita-Ram Parnashala,🚻|💧,భద్రాచలం,भद्राचलम,Bhadrachalam
kovvur,కొవ్వూరు ఘాట్,कोव्वूर घाट,Kovvur Ghat,17.015,81.73,5km,5,low,కొవ్వూరు పట్టణంలో,कोव्वूर शहर में,In Kovvur town,🚻|🍲|💧|🅿️,కొవ్వూరు,कोव्वूर,Kovvur
dhavaleswaram,ధవళేశ్వరం ఘాట్,धवलेश्वरम घाट,Dhavaleswaram Ghat,16.945,81.735,8km,8,medium,ధవళేశ్వరం బ్యారేజ్ సమీపంలో,धवलेश्वरम बैराज के पास,Near Dhavaleswaram Barrage,🚻|💧|🅿️,ధవళేశ్వరం,धवलेश्वरम,Dhavaleswaram
bhadrachalam,భద్రాచలం ఘాట్,भद्राचलम घाट,Bhadrachalam Ghat,17.6685,80.8897,45km,45,low,శ్రీ సీతారామచంద్ర ఆలయం,श्री सीताराम मंदिर,Sri Sita Ramachandra Temple,🚻|🍲|💧|🅿️|🏥,భద్రాచలం,भद्राचलम,Bhadrachalam
antarvedi,అంతర్వేది ఘాట్,अंतर्वेदी घाट,Antarvedi Ghat,16.3265,81.737,75km,75,low,గోదావరి సముద్ర సంగమం,गोदावरी सागर संगम,Godavari meets the sea,🚻|💧,అంతర్వేది,अंतर्वेदी,Antarvedi
basara,బాసర ఘాట్,बसारा घाट,Basara Ghat,18.7395,77.9265,180km,180,low,శ్రీ జ్ఞాన సరస్వతి ఆలయం,श्री ज्ञान सरस्वती मंदिर,Sri Gnana Saraswati Temple,🚻|🍲|💧|🅿️,బాసర,बसारा,Basara